"state","Stringency"
"Alaska",53.4565202702703
"Alabama",37.8042567567568
"Arkansas",44.6223986486486
"Arizona",43.4633783783784
"California",62.0919932432432
"Colorado",55.7460810810811
"Connecticut",61.6216891891892
"District of Columbia",59.7375675675676
"Delaware",59.4657094594595
"Florida",50.7777702702703
"Georgia",49.4278040540541
"Hawaii",71.7277288135593
"Iowa",32.4851013513514
"Idaho",48.6220608108108
"Illinois",54.9630067567568
"Indiana",46.4790592334495
"Kansas",47.3710135135135
"Kentucky",59.5271621621622
"Louisiana",51.1706756756757
"Massachusetts",59.4377702702703
"Maryland",59.4858108108108
"Maine",67.6397297297297
"Michigan",50.5145608108108
"Minnesota",56.1479054054054
"Missouri",43.8824406779661
"Mississippi",45.1870608108108
"Montana",49.5158445945946
"North Carolina",57.9879054054054
"North Dakota",34.2087837837838
"Nebraska",43.2998310810811
"New Hampshire",48.9669256756757
"New Jersey",51.4900337837838
"New Mexico",75.207027027027
"Nevada",46.835472972973
"New York",70.9214527027027
"Ohio",57.3996621621622
"Oklahoma",36.241722972973
"Oregon",54.1569256756757
"Pennsylvania",52.3416891891892
"Rhode Island",66.8073648648649
"South Carolina",43.9223648648649
"South Dakota",22.1502702702703
"Tennessee",47.9035810810811
"Texas",52.4316554054054
"Utah",39.6725675675676
"Virginia",51.8715878378378
"Virgin Islands",49.8479296875
"Vermont",61.0590878378378
"Washington",57.3916554054054
"Wisconsin",44.6039527027027
"West Virginia",53.6881756756757
"Wyoming",46.950472972973
