"state","excess_deaths_per_100k_wa","total_deaths_wa","covid_deaths_wa","expected_deaths_wa","excess_deaths_wa","Stringency","Mobility_a","Density","Per_capita_Real_GDP"
"District of Columbia",6.63585025270144,143.525,17.825,96.6925532000621,46.8324467999379,59.7375675675676,-56.5619369369369,10801.5,178442
"North Dakota",5.52604839053832,171.75,26.6,129.638085114096,42.1119148859042,34.2087837837838,-18.361631753032,10.7,70991
"New York",5.41903957946649,3986.8,880.25,2932.60382979434,1054.19617020566,70.9214527027027,-29.8534023881456,419,75131
"New Jersey",5.25433719340459,1882.95,443.275,1416.24978724114,466.700212758863,51.4900337837838,-31.7123632321105,1215.4,63492
"Mississippi",4.72124468864262,756.075,104.5,615.56372341141,140.51127658859,45.1870608108108,-13.2437145174371,63.8,35015
"Louisiana",4.31638600484054,1082.675,169.15,882.015106390133,200.659893609867,51.1706756756757,-19.6768662476569,107.6,51729
"South Dakota",4.25004484763645,194.35,31.075,156.751595751348,37.5984042486521,22.1502702702703,-9.26587728740581,11.3,52913
"Tennessee",4.08926348654484,1667.975,134.95,1388.54851064592,279.426489354076,47.9035810810811,-13.6902734778122,158.8,48440
"Missouri",4.0858285787871,1443.55,112.75,1192.78521277352,250.764787226482,43.8824406779661,-13.7785860545317,88.2,47407
"Michigan",3.87002041030839,2264.75,279.875,1878.25659575169,386.493404248313,50.5145608108108,-23.7082168809391,175.3,47448
"Arizona",3.84031907601164,1444.475,183.05,1164.9490425601,279.525957439902,43.4633783783784,-21.3193269668031,59.3,44161
"Connecticut",3.58083602467396,720.128205128205,131.948717948718,592.461123849188,127.667081279017,61.6216891891892,-24.5025872141546,742.7,69789
"South Carolina",3.51146556482862,1156.45,117.125,975.65468085849,180.79531914151,43.9223648648649,-13.5648195802596,160.8,41457
"Indiana",3.45885607628548,1491.35,168.925,1258.49223404965,232.857765950346,46.4790592334495,-12.2419697685404,184.1,49321
"Alabama",3.31873947642706,1194.3,101.95,1031.57606380275,162.72393619725,37.8042567567568,-14.693447905478,95.8,41389
"Arkansas",3.30959788364304,718.05,72.75,618.172127667949,99.8778723320507,44.6223986486486,-13.063273502172,57,39580
"Texas",3.2635358016517,4837.525,594.625,3891.23404256068,946.290957439321,52.4316554054054,-18.4454393319876,103.2,61682
"Illinois",3.26176062681269,2476.45,354.4,2063.12553192182,413.324468078182,54.9630067567568,-20.577394936048,232,61713
"Rhode Island",3.24557355032138,224.775,35.325,190.39265958158,34.3823404184201,66.8073648648649,-30.7319876647042,1020.5,51963
"Pennsylvania",3.22798078231109,2918.95,310.9,2505.70425532642,413.245744673579,52.3416891891892,-22.0020690406185,285.8,56868
"Montana",3.20789903450359,230.125,20.45,195.839680857013,34.2853191429868,49.5158445945946,-13.4524926176828,7,44145
"Iowa",3.20270063112572,681.4,80.2,580.352553197542,101.047446802458,32.4851013513514,-16.5455936352509,55.6,55051
"Nebraska",3.19585377321148,378.8,34.05,316.979148942695,61.8208510573048,43.2998310810811,-11.3662973601423,24.5,59386
